"district","indicator","gender","Unit","Date","Value"
"Akola","Field Labour","Male","","1973M7",2
"Akola","Field Labour","Male","","1973M8",2.25
"Akola","Field Labour","Male","","1973M9",2.25
"Akola","Field Labour","Male","","1973M10",2.25
"Akola","Field Labour","Male","","1973M11",2.5
"Akola","Field Labour","Male","","1973M12",2
"Akola","Field Labour","Male","","1974M1",2.5
"Akola","Field Labour","Male","","1974M3",2
"Akola","Field Labour","Male","","1974M4",2
"Akola","Field Labour","Male","","1974M5",2.5
"Akola","Field Labour","Male","","1974M6",2.5
"Akola","Field Labour","Male","","1974M7",2.5
"Akola","Field Labour","Male","","1974M8",2.5
"Akola","Field Labour","Male","","1974M9",2.5
"Akola","Field Labour","Male","","1974M10",2.5
"Akola","Field Labour","Male","","1974M11",2.5
"Akola","Field Labour","Male","","1974M12",3
"Akola","Field Labour","Male","","1975M1",2.5
"Akola","Field Labour","Male","","1975M2",2
"Akola","Field Labour","Male","","1975M3",2
"Akola","Field Labour","Male","","1975M4",2
"Akola","Field Labour","Male","","1975M5",2
"Akola","Field Labour","Male","","1975M8",3
"Akola","Field Labour","Male","","1975M9",3
"Akola","Field Labour","Male","","1975M10",3.5
"Akola","Field Labour","Male","","1976M4",3
"Akola","Field Labour","Male","","1976M5",3
"Akola","Field Labour","Male","","1976M6",3
"Akola","Field Labour","Male","","1976M7",3
"Akola","Field Labour","Male","","1976M8",3
"Akola","Field Labour","Male","","1976M9",3
"Akola","Field Labour","Male","","1976M10",3
"Akola","Field Labour","Male","","1976M11",3
"Akola","Field Labour","Male","","1976M12",3
"Akola","Field Labour","Male","","1977M3",3
"Akola","Field Labour","Male","","1977M4",3
"Akola","Field Labour","Male","","1977M6",3
"Akola","Field Labour","Male","","1977M7",3
"Akola","Field Labour","Male","","1977M8",3
"Akola","Field Labour","Male","","1977M9",3
"Akola","Field Labour","Male","","1977M10",3
"Akola","Field Labour","Male","","1977M11",3
"Akola","Field Labour","Male","","1977M12",3
"Akola","Field Labour","Male","","1978M2",3
"Akola","Field Labour","Male","","1978M7",3
"Akola","Field Labour","Male","","1978M8",3
"Akola","Field Labour","Male","","1978M9",3
"Akola","Field Labour","Male","","1978M10",3
"Akola","Field Labour","Male","","1978M11",3
"Akola","Field Labour","Male","","1978M12",4
"Akola","Field Labour","Male","","1979M1",4
"Akola","Field Labour","Male","","1979M3",4
"Akola","Field Labour","Male","","1979M5",4
"Akola","Field Labour","Male","","1979M6",4
"Akola","Field Labour","Male","","1979M7",4
"Akola","Field Labour","Male","","1979M8",4
"Akola","Field Labour","Male","","1979M11",4
"Akola","Field Labour","Male","","1979M12",4
"Akola","Field Labour","Male","","1980M1",5
"Akola","Field Labour","Male","","1980M4",4
"Akola","Field Labour","Male","","1980M7",4
"Akola","Field Labour","Male","","1980M8",4
"Akola","Field Labour","Male","","1980M9",4
"Akola","Field Labour","Male","","1980M10",4.5
"Akola","Field Labour","Male","","1980M11",4
"Akola","Field Labour","Male","","1982M1",5.5
"Akola","Field Labour","Male","","1982M7",5
"Akola","Field Labour","Male","","1982M8",6
"Akola","Field Labour","Male","","1982M10",6
"Akola","Field Labour","Male","","1982M11",6
"Akola","Field Labour","Male","","1983M1",6
"Akola","Field Labour","Male","","1983M2",6
"Akola","Field Labour","Male","","1983M5",6
"Akola","Field Labour","Male","","1983M6",6
"Akola","Field Labour","Male","","1983M7",6
