@relation 'final-weka.filters.unsupervised.attribute.Reorder-R1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,2'

@attribute Plant.start numeric
@attribute harvested.area numeric
@attribute temp.at.planting numeric
@attribute precip.at.planting numeric
@attribute Crop.name {Wheat,Maize,Beans,Potato,Barley,Rice,Sorghum,Potatoes,Millet,'Winter Wheat',Cotton,'Potato (main)','Winter Rye','Spring Barley','Maize (main)','Maize (second)',Cassava,Yams,Soybean,'Sweet Potato','Beans (main)','Sorghum (main)','Sorghum (second)','Main Wet Season Rice','Dry Season Rice',Pulses,Sugarbeet,'Rice (main)','Rice (second)','Sweet Potatoes','Soya Bean','Potato (Main Season)','Maize (main crop)','Maize (off season crop)','Rice (main crop)','Rice (off season crop)','Wheat (Meher)','Maize (Meher)','Sorghum (Meher)','Millet (Meher)','Oats (Meher)','Barley (Meher)',Groundnut,'Rice (main season)','Rice (second season)','Spring Wheat','Wheat (long rains)','Maize (long rains)','Maize (short rains)','Millet (long rains)','Sorghum (long rains)','Sorghum (short rains)','Barley (long rains)','Beans (long rains)','Rice (wet season)','Rice (dry season)',Sunflower,'Rice (rainfed)','Rice (irrigated)','Rice (off-season)','Winter wheat','Rice (upland)',Cowpea,'Maize (Gu)','Maize (Der)','Millet (main)',Peanut,'Aman rice','Boro rice','Corn (1)',Corn,'Single-crop rice','Early double-crop rice','Late double-crop rice','Spring wheat',Groundnuts,'Winter Rapeseed',Oat,'Barley (winter)',Rapeseed,Sugarbeets,'Winter Barley',Rye,'Sorghum (summer)','Sorghum (winter)',Oats,'Soft wheat','Durum wheat','Winter barley','Spring barley','Winter rapeseed',Sunseed,Soybeans,'Rice (second crop)','Tenth month Rice','Winter-spring Rice','Rice, main crop','Corn, first crop','Corn, Dry season','Corn, rainy season','Corn (2)','Barley - spring','Barley - winter','Beans - dry','Oats - spring','Oats - winter',Peanuts,'Potatoes - fall',Sunflowers,'Sweet potatoes','Wheat - spring','Wheat - winter','Paddy - I','Paddy - II',Bajra,'Jowar (Kharif)','Jowar (Rabi)','Groundnut (Kharif)','Paddy (Kharif)','Paddy (Rabi)',Rape,'Bajra (Kharif)','Wheat (Rabi)','Maize (Kharif)',Paddy,'Cotton (Hybrid)',Jowar,'Cotton (Kharif)','Sunflower (Kharif)','Soyabean (Kharif)','Groundnut (Rabi)',Mung,'Ragi (Kharif)',Gram,'Aman paddy/Kharif','Boro paddy/Rabi','Broom Millet','Cotton (coast)','Cotton (lake)',Sunflowerseed,'Irish Potatoes','Rice (main - north region)','Rice (main - south region)','Rice (second - north region)','Rice (second - south region)','Peanuts (north)','Peanuts (south)','Soybeans (north)','Soybeans (east)','Sweet Potatoes (north)','Sweet Potatoes (south)','Cotton (Gu)','Beans (Gu)','Corn (north - vuli rains)','Millet (north)','Rice (north)','Cotton (west)','Cotton (east)','Soybeans (south)','Wheat (summer)','Sorghum (Gu)','Sorghum (Deyr)'}

@data
289,1120.28338,9.907873,163.806151,Wheat
284,14755.97648,10.271499,63.471534,Wheat
121,26.116847,21.014326,20.006534,Wheat
315,8134.311258,20.047362,7.866914,Wheat
315,1427.174602,20.799439,109.900548,Wheat
121,2.85391,16.91665,6.974411,Wheat
101,2763.556501,7.327513,209.451357,Wheat
40,187.938972,19.837345,151.028312,Wheat
274,221.416883,6.454453,45.294782,Wheat
11,245.018195,20.255923,267.668673,Wheat
305,10048.37652,18.810309,6.362499,Wheat
182,223.987958,25.085982,129.89116,Wheat
101,60.140461,23.983907,175.200782,Wheat
244,55775.7212,17.889118,20.357926,Wheat
314,1039.259194,12.91891,37.605898,Wheat
294,496.289577,16.415458,71.1494,Wheat
263,1910.187754,9.51093,108.647391,Wheat
315,141.733234,9.912825,47.037007,Wheat
284,417.076576,10.514153,111.273535,Wheat
121,171.557072,7.835453,28.084823,Wheat
283,1523.981083,19.586039,40.7004,Wheat
289,1110.068518,5.741796,72.575098,Wheat
121,37.801238,21.878377,73.414419,Wheat
32,17.253647,22.672823,204.748389,Wheat
315,25570.71122,12.747563,75.828355,Wheat
121,15.383355,21.413396,23.824713,Wheat
264,929.675063,25.264914,134.930212,Wheat
121,11.117429,16.747561,3.064599,Wheat
294,6426.059064,17.649156,8.739433,Wheat
101,1834.993565,18.582414,146.159481,Wheat
314,1333.703289,15.115618,122.199446,Wheat
314,4477.974742,17.334072,17.618762,Wheat
274,16.644262,12.914108,56.302014,Wheat
305,1193.555177,27.196654,4.681728,Wheat
121,2.026697,17.208118,24.802404,Wheat
282,16699.36214,10.927788,60.587612,Wheat
344,229.831982,21.784687,199.863257,Wheat
15,415.284661,22.504726,79.952295,Wheat
284,5884.134091,13.913704,76.14148,Wheat
254,89427.62055,12.150298,44.390444,Wheat
121,1671.605358,11.556913,73.966123,Wheat
121,110.922718,19.197394,3.029591,Wheat
121,430.343436,17.655371,7.519406,Wheat
243,20052.5742,13.927883,37.280072,Wheat
302,284.718453,24.522211,6.123309,Wheat
295,721.426094,11.455534,21.493605,Wheat
323,619.847633,13.091289,30.875044,Wheat
337,204.308322,12.131379,45.317674,Wheat
295,152.309343,10.71085,14.816472,Wheat
281,428.238148,24.30963,69.00201,Wheat
274,689.069766,25.064809,120.727311,Wheat
281,115.632341,26.010543,81.556644,Wheat
302,618.930747,23.336744,12.064449,Wheat
295,562.682992,23.680259,13.421032,Wheat
309,1492.742104,22.650558,26.070869,Wheat
302,1610.115261,22.850962,21.379093,Wheat
309,1440.474178,21.423861,4.697777,Wheat
316,1399.61572,20.506712,6.447237,Wheat
309,2789.345003,21.465716,5.957376,Wheat
309,818.240487,21.626192,11.188311,Wheat
316,3353.887952,19.906452,5.541002,Wheat
309,910.440737,21.681987,8.645169,Wheat
323,300.54825,19.481386,4.932334,Wheat
91,34405.21692,12.87019,47.83268,Wheat
91,10551.54222,14.321334,38.203767,Wheat
91,16802.06936,13.527073,44.36661,Wheat
121,10238.12026,9.355302,37.486048,Wheat
121,45972.45825,13.749277,63.608127,Wheat
106,540.683231,15.691555,76.18775,Maize
244,7154.68447,21.122903,79.552392,Maize
254,2888.114389,20.857243,58.879126,Maize
319,437.532229,25.141927,82.993253,Maize
91,2241.169599,31.352784,81.806572,Maize
121,607.505092,28.464088,209.667973,Maize
182,212.69129,23.474042,33.803252,Maize
